,Unnamed: 0,Title,cast_act
0,15,연극 〈운빨로맨스〉- 대학로,"김세울, 문재웅, 변가온, 한선우, 김지후, 장은서, 조은진, 최지선, 박병훈, 신광희, 이주영, 신서진, 민소현, 양혜민, 최로아"
1,43,(리얼타임 코믹연극) 택시안에서 - 서울,"김로언, 전청일, 한상웅, 김나온, 한재우, 오하성, 이채연, 김진화, 서예선"
2,44,(코믹연극) 달동네-부산,"조영준, 안애린, 한서아, 류현주, 양채은, 정유나, 곽희규, 김영신, 신희진, 이찬영, 이민진, 임유림, 오현석, 양준재, 정창운"
3,8,10년 연속 1위 연극〈옥탑방고양이〉- 틴틴홀,"임채민, 정지호, 문지원, 정승지, 양시환, 황민환, 최지환, 장진호, 박지민, 심채아, 이주하, 정한슬, 김동진, 함원태, 김건하, 이선준"
4,17,2023 연극 〈친정엄마와 2박 3일〉 - 고양,해당없음
5,31,2시간탈출 졸탄쇼,해당없음
6,16,4D공포연극 〈스위치〉,"김상훈, 엄민욱, 전재진, 이창주, 최하은, 정재희, 최유경, 김시원, 김정규, 나준영, 함우주, 김창우, 윤수아, 김단하, 박애림"
7,24,★평점9.5★ 코미디의맛/쇼미더퍼니,해당없음
8,108,공포연극 조각,"김주영, 이승원, 하진성, 이동규, 강영수, 김진현, 김훈민, 유승현, 김태린, 김하진, 장솔하, 유혜나"
9,37,공포연극 ［자취］,"엄현호, 김주훤, 주귀룡, 홍세나, 김태린, 윤서정, 김보근, 최준식"
10,29,괴물B,"이상홍, 이승혁, 최지혜, 지춘성, 이영주, 이은정, 조성현, 이두성, 류정문, 강연주"
11,19,국민 코믹 연극 〈오백에삼십〉 - 대학로 세우아트센터 1관,"이세정, 이현정, 배상규, 도준영, 이다빈, 박지원, 이제민, 김단우, 임수영, 전세정, 정유진, 김솔, 정재훈, 차경훈, 전지환, 정아영"
12,1,대학로 1위 연극 〈쉬어매드니스〉,"임정균, 김태성, 이승복, 석민주, 리재, 노다윗, 백재민, 김채율, 이른봄, 고동균, 김태환, 이규동, 손지완"
13,20,러브 앤 인포메이션,해당없음
14,34,메이드 인 제인,"이승우, 이상진, 안태준, 김태성, 정수현, 김정훈, 이채원, 손민준, 안진효, 조태영, 채승병, 전우용"
15,6,뮤직드라마 〈불편한 편의점〉,"장우진, 김동박, 이강혁, 박은영, 조영임, 문상희, 정예지, 정이수, 서지영, 한윤서, 홍가경, 김은지, 김준희, 김윤희, 김서준, 차미연, 장희재, 임혜진, 지상록, 윤선근"
16,28,연극 〈굿닥터〉,"김수현, 김귀선, 정원조, 문상희, 강지원, 김영경, 이승우, 박현민, 정다정"
17,33,연극 〈극적인 하룻밤〉,"허욱, 김번영, 임현준, 차도윤, 이시원, 박수야, 공다임, 민하람"
18,12,연극 〈기형도 플레이〉,"최덕문, 우현주, 이석준, 박호산, 이창훈, 이동하, 이은, 김세영, 김승은"
19,36,연극 〈나의PS파트너〉,"김민주, 전승현, 이탁호, 고예현, 석민주, 홍채현, 최영광, 좌정우, 차형은, 정현진, 백송이, 이혜주"
20,3,연극 〈바닷마을 다이어리〉,"박하선, 한혜진, 서예화, 임수향, 강해진, 류이재, 설가은, 유나, 오한결, 이윤서, 이정미, 이강욱"
21,23,연극 〈뷰티풀라이프〉,"조준, 김진우, 김원진, 김진호, 정경식, 김사희, 박세영, 권순미, 강민주, 김다정, 김효진, 강보라"
22,18,연극 〈수상한흥신소〉,해당없음
23,38,연극 〈쉬어 매드니스(Shear Madness)〉 - 군포,해당없음
24,39,연극 〈슈만〉,"박상민, 윤서현, 원기준, 이일화, 정재은, 채시현, 장도윤, 최성민, 최현상"
25,14,연극 〈카페 쥬에네스〉,"차용학, 최정헌, 랑연, 조윤영, 이봉준, 지호림, 장서연, 신가은, 김다흰, 오의식, 박은석"
26,0,연극 너의 목소리가 들려,"고영빈, 진승욱, 김정원, 피설아, 아인, 박선영, 김하늘, 윤계열, 박건엽, 정성화, 김일강, 배설하, 안예슬, 김예은, 조하연"
27,13,연극 죽여주는 이야기,"남경화, 노진욱, 이연승, 최다운, 조웅희"
28,4,연극 한뼘사이,"윤주희, 강단비, 주하영, 유이주, 박정윤, 최하은, 김시윤, 김현지, 김종훈, 정태영, 서도운, 구도진, 홍대권, 김도연, 성엽, 이수영, 이슬기, 고민지, 남은지, 문아연"
29,10,연극 핫식스,"이대우, 정회형, 김호준, 김예지, 송다영, 김은수, 임종철, 김동섭, 김정원, 전상혁"
30,5,연극〈늘근도둑이야기〉,"노진원, 전재형, 박철민, 태항호, 김상묵, 주우성, 유일한, 이호연, 안태영"
31,26,이머시브씨어터 카지노,"안지현, 남지현, 문수민, 오자송, 최지우, 김유리, 박상혁, 장영웅, 박서연, 안예은, 김태균, 담우, 한민우, 박철연, 유지현, 김혜미, 최민석, 최규식, 이지현"
32,35,"제6회 1번출구 연극제 〈월드다방〉, 〈#정답을작성해주세요〉, 〈순례네 국밥〉","기은수, 이태현, 유민주, 정진아, 문유란, 김호준, 유의봉"
33,9,좀비연극 오마이갓,"이진욱, 한석희, 조하연, 이지혜, 김아율, 예윤주, 박건엽, 정성화, 고영빈"
34,22,진짜나쁜소녀,"윤지원, 강현아, 이소연, 한이올, 조정원, 이유진, 남은지, 민재완, 문상준, 한상민, 정대경, 박소정, 정수미, 황승아, 김은찬, 장한길, 김민석"
35,27,코미디 연극〈딜리버리〉,"정영성, 장경진, 김준혜, 안세미, 이수현, 이세진, 채다솜, 배윤정, 성희진, 안현, 신용빈, 서형덕"
36,7,코믹감동 휴먼판타지 연극 〈2호선 세입자〉,"서해든, 민채우, 정은규, 임지우, 전지후, 박경진, 박호진, 최상태, 성보람, 이우진, 김은정, 허솔빈, 유우헌, 정진혁, 김건호"
37,2,행오버,"최선량, 정현규, 조영광, 신재명, 손준표, 윤건웅, 최창빈, 김민우, 이도희, 이유진, 정하민, 이정은, 조병진, 유형욱, 김상일, 권희대, 유민주, 서지현, 채빈, 김민서"
38,55,［2023 SPAF］ SPAF 연극 패키지,해당없음
39,56,［2023 SPAF］ SPAF 하마티아 3부작 패키지,해당없음
40,45,［2023 SPAF］ 거인아트랩 〈인.투〉,해당없음
41,46,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 롤링 앤 롤링〉,해당없음
42,47,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 쿠쿠〉,해당없음
43,48,［2023 SPAF］ 구자하/캄포 〈하마티아 3부작: 한국 연극의 역사〉,해당없음
44,49,［2023 SPAF］ 극단 골목길 〈이장〉,해당없음
45,21,［2023 SPAF］ 극단 돌파구 〈지상의 여자들〉,"김시영, 김정호, 안병식, 김민하, 조어진, 윤미경, 한지수, 이진경"
46,50,［2023 SPAF］ 데드센터 〈베케트의 방〉,해당없음
47,51,［2023 SPAF］ 연극연습 프로젝트 〈연극연습3. 극작 연습-물고기로 죽기〉,해당없음
48,52,"［2023 SPAF］ 작당모의 〈싸움의 기술, 〈졸〉_2.0〉",해당없음
49,53,［2023 SPAF］ 지연X전환 〈에너지_보이지 않는 언어〉,해당없음
50,54,［2023 SPAF］ 파이브 아트 센터 〈노셔널 히스토리〉,해당없음
51,63,［2023_셀러브리티 명품 로코］연극 이프온리 크리스마스특별 공연 - 대학로,해당없음
52,65,［2023’셀러브리티 로코연극］러브액츄얼리 첫번째사연_크리스마스 특별공연 - 부산,해당없음
53,11,［서울 대학로］연극 라면,"김기정, 이시운, 강종현, 이인규, 이윤경, 김민지, 박혜선, 민유리, 박승훈, 황요셉, 김지욱, 신광민, 고연경, 엄선영, 유채빈, 권현진, 박한솔, 임호성, 정지원, 최흥일"
54,66,［연극 on stage］ 99% - 화성,해당없음
55,67,［연극 on stage］ 띨뿌리 - 화성,해당없음
56,68,［연애하기 좋은 날 : 당근거래］ - 전주,해당없음
57,69,［장애인 선예매］ 러브 앤 인포메이션,해당없음
58,41,대학로 청소년연극 〈사춘기메들리〉,"한규혁, 현동석, 김예나, 김태린, 최이슬, 박은선, 이재연, 양철진, 홍대교, 손형민, 최영준"
59,142,로맨틱코미디 〈슬기로운 신혼생활〉,"오세영, 정대경, 김은지, 이슬기, 한재우, 서동현, 김세나, 이재희, 송민주, 이동규, 이종훈, 황수빈"
60,107,공포스릴러연극〈두여자〉- 대구,"김미영, 김린아, 이다은, 엄영실, 이상아, 임성희, 이도윤, 최승환, 문다현, 박수정, 박다율, 장예림, 남채원, 김소희, 이루리, 서가흔, 김병현, 여동현, 이태민, 윤동주"
61,149,모든 날 모든 순간,해당없음
62,121,나의 장례식에 와줘,해당없음
63,101,3대가 웃고 우는 연극 〈염쟁이 유씨〉,해당없음
64,112,그곳에 있었다,"김현서, 정지원, 조민솔, 호천, 강우람, 김진현"
